date,category_id,category_title,revenue
2023-09-01,1,Wine,147441792.0
2023-10-01,1,Wine,153878320.0
2023-11-01,1,Wine,139429104.0
2023-12-01,1,Wine,141725280.0
2024-01-01,1,Wine,137350736.0
2024-02-01,1,Wine,138286528.0
2024-03-01,1,Wine,146728960.0
2024-04-01,1,Wine,144826464.0
2024-05-01,1,Wine,143664912.0
2024-06-01,1,Wine,136834176.0
2024-07-01,1,Wine,127616832.0
2024-08-01,1,Wine,130796512.0
2024-09-01,1,Wine,135895536.0
2024-10-01,1,Wine,127784408.0
2024-11-01,1,Wine,122719248.0
2024-12-01,1,Wine,118824584.0
2025-01-01,1,Wine,120871256.0
2025-02-01,1,Wine,130290040.0
2023-09-01,2,Champagne & Sparkling Wine,172828608.0
2023-10-01,2,Champagne & Sparkling Wine,180131792.0
2023-11-01,2,Champagne & Sparkling Wine,171233264.0
2023-12-01,2,Champagne & Sparkling Wine,183738944.0
2024-01-01,2,Champagne & Sparkling Wine,188568032.0
2024-02-01,2,Champagne & Sparkling Wine,172306096.0
2024-03-01,2,Champagne & Sparkling Wine,179981344.0
2024-04-01,2,Champagne & Sparkling Wine,171492384.0
2024-05-01,2,Champagne & Sparkling Wine,164729792.0
2024-06-01,2,Champagne & Sparkling Wine,177546064.0
2024-07-01,2,Champagne & Sparkling Wine,179594720.0
2024-08-01,2,Champagne & Sparkling Wine,174116880.0
2024-09-01,2,Champagne & Sparkling Wine,163138784.0
2024-10-01,2,Champagne & Sparkling Wine,168127120.0
2024-11-01,2,Champagne & Sparkling Wine,174930512.0
2024-12-01,2,Champagne & Sparkling Wine,170503584.0
2025-01-01,2,Champagne & Sparkling Wine,178899888.0
2025-02-01,2,Champagne & Sparkling Wine,170443776.0
2023-09-01,3,Whiskey,627981696.0
2023-10-01,3,Whiskey,612132544.0
2023-11-01,3,Whiskey,663688640.0
2023-12-01,3,Whiskey,642335616.0
2024-01-01,3,Whiskey,627836352.0
2024-02-01,3,Whiskey,632480128.0
2024-03-01,3,Whiskey,530869088.0
2024-04-01,3,Whiskey,566634624.0
2024-05-01,3,Whiskey,528976288.0
2024-06-01,3,Whiskey,589837696.0
2024-07-01,3,Whiskey,582262016.0
2024-08-01,3,Whiskey,560850688.0
2024-09-01,3,Whiskey,563250944.0
2024-10-01,3,Whiskey,559840320.0
2024-11-01,3,Whiskey,553776192.0
2024-12-01,3,Whiskey,554909312.0
2025-01-01,3,Whiskey,635157568.0
2025-02-01,3,Whiskey,570613120.0
2023-09-01,4,Cognac & Brandy,107822408.0
2023-10-01,4,Cognac & Brandy,112008672.0
2023-11-01,4,Cognac & Brandy,111718168.0
2023-12-01,4,Cognac & Brandy,108845896.0
2024-01-01,4,Cognac & Brandy,108841368.0
2024-02-01,4,Cognac & Brandy,117143096.0
2024-03-01,4,Cognac & Brandy,112080944.0
2024-04-01,4,Cognac & Brandy,122549984.0
2024-05-01,4,Cognac & Brandy,110138976.0
2024-06-01,4,Cognac & Brandy,119499968.0
2024-07-01,4,Cognac & Brandy,115508496.0
2024-08-01,4,Cognac & Brandy,117877952.0
2024-09-01,4,Cognac & Brandy,99602704.0
2024-10-01,4,Cognac & Brandy,111753768.0
2024-11-01,4,Cognac & Brandy,111774208.0
2024-12-01,4,Cognac & Brandy,109666208.0
2025-01-01,4,Cognac & Brandy,101293096.0
2025-02-01,4,Cognac & Brandy,115383000.0
2023-09-01,5,Vodka,97759112.0
2023-10-01,5,Vodka,91991432.0
2023-11-01,5,Vodka,95193320.0
2023-12-01,5,Vodka,95991840.0
2024-01-01,5,Vodka,97776072.0
2024-02-01,5,Vodka,112070528.0
2024-03-01,5,Vodka,95811040.0
2024-04-01,5,Vodka,95572816.0
2024-05-01,5,Vodka,115331328.0
2024-06-01,5,Vodka,115125392.0
2024-07-01,5,Vodka,116522080.0
2024-08-01,5,Vodka,116015256.0
2024-09-01,5,Vodka,109473488.0
2024-10-01,5,Vodka,107735288.0
2024-11-01,5,Vodka,95446872.0
2024-12-01,5,Vodka,95991840.0
2025-01-01,5,Vodka,109749864.0
2025-02-01,5,Vodka,111444008.0
